t_ms,thrust_raw_N,thrust_filt_N
10013,-6.5264,-6.5071
10025,-6.5444,-6.5146
10037,-6.5084,-6.5133
10049,-6.5062,-6.5119
10060,-6.4714,-6.5038
10072,-6.4377,-6.4906
10084,-6.5286,-6.4982
10096,-6.9026,-6.5791
10108,-7.071,-6.6775
10120,-6.8487,-6.7117
10131,-6.7364,-6.7166
10143,-6.6903,-6.7114
10155,-6.797,-6.7285
10167,-6.7038,-6.7236
10179,-6.7128,-6.7214
10191,-6.7936,-6.7359
10202,-6.7678,-6.7422
10214,-6.6802,-6.7298
10226,-6.6791,-6.7197
10238,-6.9127,-6.7583
10250,-6.8127,-6.7692
10262,-6.6331,-6.742
10274,-6.8644,-6.7664
10285,-6.9688,-6.8069
10297,-6.925,-6.8305
10309,-6.9082,-6.8461
10321,-6.7364,-6.8241
10333,-6.7016,-6.7996
10344,-6.8307,-6.8058
10356,-6.9969,-6.844
10368,-6.9205,-6.8593
10380,-6.9778,-6.883
10392,-6.8801,-6.8824
10404,-6.7588,-6.8577
10416,-6.9419,-6.8746
10427,-7.053,-6.9102
10439,-7.0485,-6.9379
10451,-7.0104,-6.9524
10463,-6.9789,-6.9577
10475,-6.9363,-6.9534
10487,-6.9452,-6.9518
10498,-6.9475,-6.9509
10510,-6.9722,-6.9552
10522,-7.1597,-6.9961
10534,-7.2035,-7.0376
10546,-7.1608,-7.0622
10558,-7.1732,-7.0844
10569,-7.0587,-7.0793
10581,-6.9834,-7.0601
10593,-6.9531,-7.0387
10605,-7.0205,-7.035
10617,-7.0553,-7.0391
10629,-6.7802,-6.9873
10640,-6.7948,-6.9488
10652,-6.9722,-6.9535
10664,-6.9744,-6.9577
10676,-6.9531,-6.9568
10688,-6.9643,-6.9583
10700,-7.0126,-6.9691
10711,-7.053,-6.9859
10723,-7.1945,-7.0276
10735,-7.3192,-7.0859
10747,-7.2653,-7.1218
10759,-7.2743,-7.1523
10771,-7.1855,-7.1589
10783,-7.2518,-7.1775
10794,-7.4315,-7.2283
10806,-7.4348,-7.2696
10818,-7.3057,-7.2768
10830,-7.2237,-7.2662
10842,-7.2046,-7.2539
10854,-7.3293,-7.269
10865,-7.2372,-7.2626
10877,-7.3214,-7.2744
10889,-7.4607,-7.3116
10901,-7.2608,-7.3015
10913,-7.1227,-7.2657
10925,-7.254,-7.2634
10936,-7.2888,-7.2685
10948,-7.2709,-7.2689
10960,-7.3124,-7.2776
10972,-7.382,-7.2985
10984,-7.3899,-7.3168
10996,-7.3158,-7.3166
11007,-7.2203,-7.2974
11019,-7.4461,-7.3271
11031,-7.564,-7.3745
11043,-7.4393,-7.3874
11055,-7.2439,-7.3587
11067,-7.2417,-7.3353
11078,-7.336,-7.3355
11090,-7.5426,-7.3769
11102,-7.5606,-7.4136
11114,-7.3955,-7.41
11126,-7.5123,-7.4305
